2019-03-20 15:59:34;SimpleConsoleJS;1;896
2019-03-20 15:59:35;SimpleConsoleJS;2;233
2019-03-20 15:59:36;SimpleConsoleJS;3;225
2019-03-20 15:59:38;SimpleConsoleJS;4;217
2019-03-20 15:59:39;SimpleConsoleJS;5;219
2019-03-20 15:59:40;SimpleConsoleJS;6;237
2019-03-20 15:59:41;SimpleConsoleJS;7;222
2019-03-20 15:59:43;SimpleConsoleJS;8;225
2019-03-20 15:59:44;SimpleConsoleJS;9;229
2019-03-20 15:59:45;SimpleConsoleJS;10;241
2019-03-20 15:59:46;SimpleConsoleJS;11;218
2019-03-20 15:59:48;SimpleConsoleJS;12;226
2019-03-20 15:59:49;SimpleConsoleJS;13;223
2019-03-20 15:59:50;SimpleConsoleJS;14;224
2019-03-20 15:59:52;SimpleConsoleJS;15;225
2019-03-20 15:59:53;SimpleConsoleJS;16;224
2019-03-20 15:59:54;SimpleConsoleJS;17;282
2019-03-20 15:59:55;SimpleConsoleJS;18;221
2019-03-20 15:59:57;SimpleConsoleJS;19;226
2019-03-20 15:59:58;SimpleConsoleJS;20;224
