2019-03-20 11:07:08;SimpleConsoleReactive;1;2450
2019-03-20 11:07:09;SimpleConsoleReactive;2;39
2019-03-20 11:07:10;SimpleConsoleReactive;3;48
2019-03-20 11:07:12;SimpleConsoleReactive;4;59
2019-03-20 11:07:13;SimpleConsoleReactive;5;94
2019-03-20 11:07:14;SimpleConsoleReactive;6;74
2019-03-20 11:07:15;SimpleConsoleReactive;7;51
2019-03-20 11:07:16;SimpleConsoleReactive;8;52
2019-03-20 11:07:17;SimpleConsoleReactive;9;47
2019-03-20 11:07:18;SimpleConsoleReactive;10;53
2019-03-20 11:07:19;SimpleConsoleReactive;11;53
2019-03-20 11:07:20;SimpleConsoleReactive;12;49
2019-03-20 11:07:21;SimpleConsoleReactive;13;65
2019-03-20 11:07:22;SimpleConsoleReactive;14;52
2019-03-20 11:07:23;SimpleConsoleReactive;15;36
2019-03-20 11:07:24;SimpleConsoleReactive;16;47
2019-03-20 11:07:25;SimpleConsoleReactive;17;43
2019-03-20 11:07:26;SimpleConsoleReactive;18;41
2019-03-20 11:07:28;SimpleConsoleReactive;19;46
2019-03-20 11:07:29;SimpleConsoleReactive;20;44
