SimpleConsoleNoCache;741
SimpleConsoleNoCache;240
SimpleConsoleNoCache;366
SimpleConsoleNoCache;271
SimpleConsoleNoCache;250

SimpleConsole;1201
SimpleConsole;22
SimpleConsole;271
SimpleConsole;275
SimpleConsole;100

SimpleConsoleAsync;1300
SimpleConsoleAsync;21
SimpleConsoleAsync;868
SimpleConsoleAsync;268
SimpleConsoleAsync;15

SimpleConsoleReactive;2501
SimpleConsoleReactive;10
SimpleConsoleReactive;13
SimpleConsoleReactive;11
SimpleConsoleReactive;15

SimpleConsoleHttp2;1898
SimpleConsoleHttp2;39
SimpleConsoleHttp2;30
SimpleConsoleHttp2;38
SimpleConsoleHttp2;31

SimpleConsoleRust;869
SimpleConsoleRust;1745
SimpleConsoleRust;420
SimpleConsoleRust;331
SimpleConsoleRust;336

SimpleConsoleGo;2555
SimpleConsoleGo;125
SimpleConsoleGo;189
SimpleConsoleGo;178
SimpleConsoleGo;131

SimpleConsolePython;1401
SimpleConsolePython;3603
SimpleConsolePython;5976
SimpleConsolePython;493
SimpleConsolePython;354

SimpleConsoleJS;1286
SimpleConsoleJS;271
SimpleConsoleJS;1531
SimpleConsoleJS;364
SimpleConsoleJS;341

SimpleConsoleScala;1037
SimpleConsoleScala;1173
SimpleConsoleScala;198
SimpleConsoleScala;184
SimpleConsoleScala;418

SimpleConsoleErlang;3136
SimpleConsoleErlang;267
SimpleConsoleErlang;134
SimpleConsoleErlang;148
SimpleConsoleErlang;211

SimpleConsoleHaskell;653
SimpleConsoleHaskell;181
SimpleConsoleHaskell;408
SimpleConsoleHaskell;119
SimpleConsoleHaskell;116

SimpleConsoleCSharp;281
SimpleConsoleCSharp;217
SimpleConsoleCSharp;211
SimpleConsoleCSharp;218
SimpleConsoleCSharp;211

SimpleConsoleRuby;706
SimpleConsoleRuby;245
SimpleConsoleRuby;248
SimpleConsoleRuby;266
SimpleConsoleRuby;3249


SimpleConsoleBrainFuck;440
SimpleConsoleBrainFuck;19
SimpleConsoleBrainFuck;9
SimpleConsoleBrainFuck;23
SimpleConsoleBrainFuck;20
