2019-03-20 20:50:28;SimpleConsoleCSharp;1;5377
2019-03-20 20:50:34;SimpleConsoleCSharp;2;5176
2019-03-20 20:50:38;SimpleConsoleCSharp;3;2291
2019-03-20 20:50:44;SimpleConsoleCSharp;4;5187
2019-03-20 20:50:47;SimpleConsoleCSharp;5;2150
2019-03-20 20:50:50;SimpleConsoleCSharp;6;2256
2019-03-20 20:50:54;SimpleConsoleCSharp;7;2203
2019-03-20 20:51:00;SimpleConsoleCSharp;8;5241
2019-03-20 20:51:10;SimpleConsoleCSharp;9;9017
2019-03-20 20:51:16;SimpleConsoleCSharp;10;5522
2019-03-20 20:51:26;SimpleConsoleCSharp;11;8399
2019-03-20 20:51:32;SimpleConsoleCSharp;12;5224
2019-03-20 20:51:38;SimpleConsoleCSharp;13;5165
2019-03-20 20:51:42;SimpleConsoleCSharp;14;2322
2019-03-20 20:51:45;SimpleConsoleCSharp;15;2298
2019-03-20 20:51:49;SimpleConsoleCSharp;16;2823
2019-03-20 20:51:52;SimpleConsoleCSharp;17;2246
2019-03-20 20:51:58;SimpleConsoleCSharp;18;5167
2019-03-20 20:52:02;SimpleConsoleCSharp;19;2161
2019-03-20 20:52:05;SimpleConsoleCSharp;20;2175
