2019-03-20 16:08:14;SimpleConsolePython;1;899
2019-03-20 16:08:16;SimpleConsolePython;2;412
2019-03-20 16:08:17;SimpleConsolePython;3;290
2019-03-20 16:08:18;SimpleConsolePython;4;274
2019-03-20 16:08:19;SimpleConsolePython;5;272
2019-03-20 16:08:21;SimpleConsolePython;6;262
2019-03-20 16:08:25;SimpleConsolePython;7;3283
2019-03-20 16:08:26;SimpleConsolePython;8;329
2019-03-20 16:08:28;SimpleConsolePython;9;299
2019-03-20 16:08:29;SimpleConsolePython;10;286
2019-03-20 16:08:30;SimpleConsolePython;11;368
2019-03-20 16:08:32;SimpleConsolePython;12;306
2019-03-20 16:08:33;SimpleConsolePython;13;263
2019-03-20 16:08:34;SimpleConsolePython;14;293
2019-03-20 16:08:36;SimpleConsolePython;15;267
2019-03-20 16:08:37;SimpleConsolePython;16;255
2019-03-20 16:08:38;SimpleConsolePython;17;258
2019-03-20 16:08:39;SimpleConsolePython;18;282
2019-03-20 16:08:41;SimpleConsolePython;19;433
2019-03-20 16:08:42;SimpleConsolePython;20;447
